customer_id,gender,is_senior_citizen,partner,dependents,phone_service,internet_service,contract_type,payment_type,monthly_charges,total_charges,churn,tenure
0031-PVLZI,Female,0,Yes,Yes,1,0,0,Mailed check,20.35,76.35,Yes,3.75
0032-PGELS,Female,0,Yes,Yes,0,1,0,Bank transfer (automatic),30.5,30.5,Yes,1.00
0036-IHMOT,Female,0,Yes,Yes,1,2,1,Bank transfer (automatic),103.7,5656.75,No,54.55
0040-HALCW,Male,0,Yes,Yes,1,0,2,Credit card (automatic),20.4,1090.6,No,53.46
0042-JVWOJ,Male,0,No,No,1,0,1,Bank transfer (automatic),19.6,471.85,No,24.07
0042-RLHYP,Female,0,Yes,Yes,1,0,2,Bank transfer (automatic),19.7,1396.9,No,70.91
0048-LUMLS,Male,0,Yes,Yes,1,2,1,Credit card (automatic),91.2,3247.55,No,35.61
0048-PIHNL,Female,0,Yes,No,1,0,1,Bank transfer (automatic),20.45,900.9,No,44.05
0052-DCKON,Male,0,Yes,No,2,2,1,Bank transfer (automatic),115.8,7942.15,No,68.59
0052-YNYOT,Female,0,No,No,1,0,1,Electronic check,20.55,1343.4,No,65.37
0056-EPFBG,Male,0,Yes,Yes,0,1,2,Credit card (automatic),39.4,825.4,No,20.95
0057-QBUQH,Female,0,No,Yes,2,0,2,Electronic check,25.1,1070.15,No,42.64
0058-EVZWM,Female,0,Yes,No,2,2,0,Bank transfer (automatic),89.8,4959.6,No,55.23
0060-FUALY,Female,0,Yes,No,2,2,0,Electronic check,94.75,5597.65,No,59.08
0064-SUDOG,Female,0,Yes,Yes,1,0,2,Bank transfer (automatic),20.3,224.5,No,11.06
0064-YIJGF,Male,0,Yes,Yes,2,2,0,Bank transfer (automatic),75.75,1929,No,25.47
0067-DKWBL,Male,1,No,No,1,1,0,Electronic check,49.25,91.1,Yes,1.85
0068-FIGTF,Female,0,No,No,1,1,1,Mailed check,78.2,2078.95,No,26.59
0071-NDAFP,Male,0,Yes,Yes,2,0,2,Credit card (automatic),25.5,630.6,No,24.73
0074-HDKDG,Male,0,Yes,Yes,1,1,1,Bank transfer (automatic),61.6,1611,No,26.15
0076-LVEPS,Male,0,No,Yes,0,1,0,Mailed check,45,1242.45,No,27.61
0078-XZMHT,Male,0,Yes,No,2,1,2,Bank transfer (automatic),85.15,6316.2,No,74.18
0080-EMYVY,Female,0,No,No,1,1,1,Credit card (automatic),51.45,727.85,No,14.15
0080-OROZO,Female,0,No,No,1,2,1,Electronic check,99.25,3532,No,35.59
0082-LDZUE,Male,0,No,No,1,1,0,Mailed check,44.3,44.3,No,1.00
0082-OQIQY,Male,0,No,No,1,2,0,Electronic check,94.2,2607.6,No,27.68
0083-PIVIK,Male,0,No,No,2,1,1,Electronic check,81.25,5567.55,No,68.52
0089-IIQKO,Female,0,Yes,Yes,2,2,0,Credit card (automatic),99.95,3767.4,No,37.69
0093-EXYQL,Female,1,No,No,1,2,0,Electronic check,91.55,3673.6,No,40.13
0093-XWZFY,Male,0,No,No,2,2,0,Credit card (automatic),104.5,4036.85,Yes,38.63
0094-OIFMO,Female,1,No,No,1,2,0,Electronic check,95,1120.3,Yes,11.79
0096-BXERS,Female,0,Yes,No,2,1,0,Electronic check,50.35,314.55,No,6.25
0096-FCPUF,Male,0,No,No,2,1,0,Mailed check,64.5,1888.45,No,29.28
0098-BOWSO,Male,0,No,No,1,0,0,Electronic check,19.4,529.8,No,27.31
0100-DUVFC,Male,1,Yes,No,2,2,1,Electronic check,104.8,7308.95,No,69.74
0103-CSITQ,Female,0,Yes,No,2,2,1,Bank transfer (automatic),109.4,6252.7,No,57.15
0104-PPXDV,Male,0,Yes,No,1,1,1,Credit card (automatic),50.3,2878.55,No,57.23
0106-GHRQR,Male,0,No,No,2,1,0,Bank transfer (automatic),71.4,1212.1,No,16.98
0106-UGRDO,Female,0,Yes,No,2,2,2,Electronic check,116,8182.85,No,70.54
0107-WESLM,Male,0,No,No,1,0,0,Electronic check,19.85,19.85,Yes,1.00
0107-YHINA,Male,0,No,Yes,2,2,0,Electronic check,99.75,99.75,Yes,1.00
0111-KLBQG,Male,1,Yes,Yes,1,2,0,Mailed check,93.95,2861.45,No,30.46
0112-QAWRZ,Male,0,Yes,Yes,2,2,0,Bank transfer (automatic),90.8,1442.2,No,15.88
0112-QWPNC,Male,0,Yes,No,2,1,1,Electronic check,84.35,4059.35,Yes,48.13
0114-IGABW,Female,0,Yes,No,0,1,2,Bank transfer (automatic),58.25,4145.9,No,71.17
0114-PEGZZ,Female,0,No,No,2,2,0,Electronic check,107.55,3645.5,No,33.90
0114-RSRRW,Female,0,Yes,No,1,0,0,Bank transfer (automatic),19.95,187.75,No,9.41
0115-TFERT,Male,0,Yes,No,2,2,0,Electronic check,111.2,2317.1,Yes,20.84
0117-LFRMW,Male,0,Yes,Yes,0,1,0,Bank transfer (automatic),40.2,1448.8,Yes,36.04
0118-JPNOY,Female,1,No,No,1,2,0,Credit card (automatic),85.8,2193.65,No,25.57
0121-SNYRK,Male,0,No,No,0,1,1,Mailed check,35.4,1748.9,No,49.40
0122-OAHPZ,Female,0,No,No,2,2,0,Electronic check,73.85,511.25,Yes,6.92
0123-CRBRT,Female,0,Yes,Yes,2,1,2,Mailed check,88.1,5526.75,No,62.73
0125-LZQXK,Male,0,No,No,1,2,0,Electronic check,101.35,1553.95,Yes,15.33
0128-MKWSG,Female,0,No,Yes,0,1,0,Mailed check,45.8,1147,No,25.04
0129-KPTWJ,Male,0,Yes,No,1,2,0,Electronic check,94.65,6747.35,No,71.29
0129-QMPDR,Male,0,Yes,Yes,1,0,1,Bank transfer (automatic),20.5,865.05,No,42.20
0130-SXOUN,Male,0,No,No,2,2,0,Credit card (automatic),89.4,5976.9,No,66.86
0133-BMFZO,Female,0,No,No,1,2,0,Electronic check,86.25,181.65,Yes,2.11
0134-XWXCE,Female,1,No,No,1,1,1,Bank transfer (automatic),74.85,3268.05,No,43.66
0135-NMXAP,Female,0,No,No,2,2,0,Bank transfer (automatic),89.75,1052.4,Yes,11.73
0136-IFMYD,Male,1,Yes,No,2,2,2,Electronic check,109.95,7634.25,No,69.43
0137-OCGAB,Female,0,No,No,2,2,0,Mailed check,80.2,80.2,Yes,1.00
0137-UDEUO,Female,0,No,No,1,0,0,Mailed check,19.85,63.75,Yes,3.21
0139-IVFJG,Female,0,Yes,No,1,2,0,Electronic check,90.35,190.5,No,2.11
0141-YEAYS,Female,1,No,No,2,2,0,Bank transfer (automatic),86.45,2401.05,No,27.77
0142-GVYSN,Male,0,No,No,1,0,0,Electronic check,20.3,511.25,No,25.18
0147-ESWWR,Female,1,Yes,No,2,2,0,Electronic check,101.25,3949.15,No,39.00
0148-DCDOS,Male,0,No,No,2,2,0,Bank transfer (automatic),94.7,2362.1,Yes,24.94
0151-ONTOV,Female,0,No,No,1,2,0,Mailed check,70.9,70.9,Yes,1.00
0156-FVPTA,Male,0,Yes,No,1,1,0,Electronic check,54.2,1152.7,Yes,21.27
0164-APGRB,Female,0,No,No,2,2,2,Electronic check,114.9,8496.7,No,73.95
0164-XAIRP,Female,0,No,No,1,0,2,Bank transfer (automatic),19.55,470.2,No,24.05
0168-XZKBB,Female,0,Yes,No,2,2,0,Electronic check,86.85,1564.4,No,18.01
0174-QRVVY,Male,0,Yes,Yes,2,0,2,Credit card (automatic),25.35,1847.55,No,72.88
0177-PXBAT,Male,1,Yes,No,2,2,0,Bank transfer (automatic),109.9,3694.7,No,33.62
0178-CIIKR,Female,0,No,No,1,0,0,Mailed check,19.95,58,No,2.91
0178-SZBHO,Male,0,Yes,Yes,2,2,0,Electronic check,87.2,4017.45,No,46.07
0181-RITDD,Male,0,Yes,Yes,1,2,2,Mailed check,108.15,6825.65,No,63.11
0186-CAERR,Male,0,No,No,2,2,1,Bank transfer (automatic),116.3,8309.55,No,71.45
0187-QSXOE,Male,1,Yes,No,1,2,0,Electronic check,89,605.45,No,6.80
0187-WZNAB,Female,0,Yes,Yes,1,2,0,Mailed check,74.4,1972.35,No,26.51
0188-GWFLE,Male,0,No,No,1,0,0,Mailed check,20.05,33.7,No,1.68
0191-EQUUH,Female,0,No,Yes,0,1,2,Bank transfer (automatic),35.05,844.45,No,24.09
0191-ZHSKZ,Male,1,No,No,1,1,0,Electronic check,74.75,2111.3,No,28.24
0193-ESZXP,Female,1,Yes,No,1,2,1,Credit card (automatic),105.5,6205.5,Yes,58.82
0195-IESCP,Male,0,Yes,No,2,2,0,Electronic check,85.25,855.3,Yes,10.03
0196-JTUQI,Female,0,No,No,2,2,0,Credit card (automatic),75.2,633.85,No,8.43
0196-VULGZ,Female,1,Yes,No,2,2,0,Electronic check,84.35,474.9,Yes,5.63
0197-PNKNK,Female,0,Yes,Yes,2,2,1,Bank transfer (automatic),84.45,5848.6,No,69.26
0201-MIBOL,Female,1,No,No,2,2,2,Bank transfer (automatic),102.4,6471.85,No,63.20
0201-OAMXR,Female,0,No,No,2,2,1,Credit card (automatic),115.55,8127.6,Yes,70.34
0203-HHYIJ,Male,0,No,No,2,0,1,Bank transfer (automatic),25.3,676.35,Yes,26.73
0206-OYVOC,Female,0,Yes,Yes,1,0,2,Mailed check,19.25,864.2,No,44.89
0206-TBWLC,Female,0,Yes,No,2,2,1,Mailed check,114.65,6049.5,No,52.76
0207-MDKNV,Female,0,No,No,1,2,0,Electronic check,105.1,1582.75,Yes,15.06
0208-BPQEJ,Female,0,Yes,Yes,1,0,0,Bank transfer (automatic),19.4,198.1,No,10.21
0212-ISBBF,Female,0,No,No,0,1,0,Electronic check,50.35,1098.85,No,21.82
0214-JHPFW,Female,0,Yes,No,0,1,2,Bank transfer (automatic),57.8,4039.3,No,69.88
0215-BQKGS,Male,0,No,No,1,2,0,Credit card (automatic),84.3,2438.6,No,28.93
0218-QNVAS,Male,0,Yes,Yes,2,2,1,Bank transfer (automatic),100.55,7113.75,No,70.75
0219-QAERP,Male,0,Yes,No,1,0,1,Credit card (automatic),19.8,576.65,No,29.12
0219-YTZUE,Male,0,Yes,Yes,2,2,0,Bank transfer (automatic),84.8,371.9,Yes,4.39
0220-EBGCE,Male,0,No,No,1,2,0,Electronic check,85.85,167.3,Yes,1.95
0221-NAUXK,Male,0,No,Yes,1,0,1,Bank transfer (automatic),19.95,219.5,No,11.00
0221-WMXNQ,Male,1,No,No,1,2,0,Electronic check,75.35,273.4,No,3.63
0222-CNVPT,Male,1,No,No,0,1,0,Credit card (automatic),48.8,2555.05,No,52.36
0224-HJAPT,Male,0,No,No,2,1,0,Electronic check,47.15,223.15,Yes,4.73
0224-NIJLP,Male,0,Yes,Yes,1,0,2,Mailed check,20.15,165.5,No,8.21
0224-RLWWD,Female,1,No,No,1,1,0,Electronic check,44.3,89.3,No,2.02
0225-ZORZP,Male,0,No,No,1,2,0,Electronic check,84.3,235.05,No,2.79
0228-MAUWC,Male,0,No,No,2,1,0,Electronic check,59.55,1144.6,No,19.22
0229-LFJAF,Male,0,No,No,2,1,2,Bank transfer (automatic),69.65,4908.25,No,70.47
0230-UBYPQ,Male,1,Yes,No,0,1,1,Bank transfer (automatic),36.1,2298.9,No,63.68
0230-WEQUW,Male,0,Yes,No,0,1,2,Bank transfer (automatic),56.6,3789.2,No,66.95
0231-LXVAP,Male,0,No,No,1,2,0,Electronic check,75.9,75.9,Yes,1.00
0233-FTHAV,Female,0,No,No,2,2,1,Bank transfer (automatic),79.2,4765,No,60.16
0234-TEVTT,Female,0,Yes,Yes,0,1,1,Credit card (automatic),45,2196.3,No,48.81
0235-KGSLC,Female,0,No,No,1,2,0,Credit card (automatic),85.55,85.55,Yes,1.00
0236-HFWSV,Male,0,No,No,2,2,0,Electronic check,93.35,1444.65,Yes,15.48
0237-YFUTL,Female,0,Yes,No,2,2,0,Bank transfer (automatic),109.65,5405.8,No,49.30
0238-WHBIQ,Male,0,Yes,Yes,2,1,2,Credit card (automatic),89.7,6339.3,No,70.67
0239-OXEXL,Female,0,No,No,2,2,0,Mailed check,84.25,3847.6,No,45.67
0244-LGNFY,Female,0,Yes,Yes,2,1,2,Bank transfer (automatic),92.65,6733,No,72.67
0247-SLUJI,Male,0,Yes,Yes,1,0,0,Mailed check,19.7,19.7,No,1.00
0248-IPDFW,Female,0,No,No,2,1,0,Electronic check,50.1,50.1,No,1.00
0248-PGHBZ,Female,1,No,No,1,2,2,Bank transfer (automatic),92.45,6140.85,No,66.42
0253-ZTEOB,Female,0,Yes,Yes,2,1,2,Electronic check,79.65,3870.3,No,48.59
0254-FNMCI,Female,0,No,No,1,2,2,Electronic check,109.9,7624.2,No,69.37
0254-KCJGT,Male,0,Yes,No,2,1,1,Credit card (automatic),81.4,4354.45,No,53.49
0254-WWRKD,Female,0,Yes,Yes,1,1,1,Credit card (automatic),50.55,3431.75,No,67.89
0256-LTHVJ,Female,0,Yes,Yes,1,2,0,Electronic check,81.05,2227.1,Yes,27.48
0257-KXZGU,Female,0,Yes,Yes,2,1,0,Bank transfer (automatic),62.45,2045.55,No,32.76
0257-ZESQC,Female,1,Yes,No,1,2,0,Bank transfer (automatic),75.2,1929.35,Yes,25.66
0258-NOKBL,Male,0,No,No,1,2,0,Electronic check,90.4,268.45,No,2.97
0259-GBZSH,Male,0,No,No,2,2,0,Electronic check,85.65,181.5,Yes,2.12
0260-ZDLGK,Female,0,No,Yes,1,1,0,Mailed check,72.9,651.4,Yes,8.94
0263-FJTQO,Male,0,Yes,Yes,2,1,2,Credit card (automatic),70.5,3486.65,No,49.46
0264-CNITK,Female,0,Yes,Yes,1,0,2,Bank transfer (automatic),20.1,1389.6,No,69.13
0265-EDXBD,Male,1,Yes,No,2,2,0,Electronic check,74.9,2303.35,Yes,30.75
0265-PSUAE,Female,0,Yes,Yes,1,2,0,Bank transfer (automatic),100.7,1522.7,No,15.12
0266-CLZKZ,Female,0,Yes,Yes,2,2,2,Bank transfer (automatic),105.65,6717.9,No,63.59
0266-GMEAO,Male,0,Yes,Yes,2,2,2,Credit card (automatic),114.3,8058.55,No,70.50
0268-QKIWO,Female,0,No,No,1,0,0,Electronic check,19.75,58.85,Yes,2.98
0269-XFESX,Male,0,Yes,Yes,2,0,1,Mailed check,24.35,538.5,No,22.11
0270-THENM,Male,0,Yes,Yes,2,1,2,Bank transfer (automatic),69.85,5102.35,No,73.05
0274-JKUJR,Male,0,Yes,Yes,0,1,0,Mailed check,58.85,465.7,No,7.91
0277-BKSQP,Male,0,Yes,Yes,1,1,0,Electronic check,54.4,475.1,No,8.73
0277-ORXQS,Male,0,Yes,Yes,0,1,2,Bank transfer (automatic),50.55,3364.55,No,66.56
0278-YXOOG,Male,0,No,No,1,0,0,Mailed check,21.05,113.85,Yes,5.41
0280-XJGEX,Male,0,No,No,2,2,0,Bank transfer (automatic),103.7,5036.3,Yes,48.57
0281-CNTZX,Male,0,Yes,No,1,0,2,Bank transfer (automatic),19.95,1234.8,No,61.89
0282-NVSJS,Female,1,Yes,Yes,0,1,0,Mailed check,29.3,355.9,No,12.15
0285-INHLN,Male,0,Yes,Yes,1,1,0,Credit card (automatic),54.75,1510.3,No,27.59
0289-IVARM,Female,0,No,No,1,1,0,Electronic check,60.55,1982.6,No,32.74
0292-WEGCH,Female,0,Yes,Yes,2,1,0,Electronic check,86.2,4524.05,No,52.48
0295-PPHDO,Male,0,No,No,2,2,0,Electronic check,95.45,95.45,Yes,1.00
0295-QVKPB,Male,0,No,No,1,1,0,Credit card (automatic),63.95,318.1,No,4.97
0297-RBCSG,Male,0,No,No,1,1,1,Bank transfer (automatic),65.35,1231.85,No,18.85
0298-XACET,Male,0,Yes,Yes,0,1,2,Mailed check,50.2,2554,No,50.88
0301-FIDRB,Female,0,Yes,Yes,0,1,2,Bank transfer (automatic),63.8,4684.3,No,73.42
0301-KOBTQ,Male,0,No,No,1,0,2,Bank transfer (automatic),20.05,614.45,No,30.65
0302-JOIVN,Female,0,Yes,No,1,2,0,Electronic check,101.15,842.9,Yes,8.33
0303-UNCIP,Male,0,No,No,2,1,1,Mailed check,65,2531.8,No,38.95
0303-WMMRN,Male,0,No,No,1,0,0,Mailed check,19.25,86.05,No,4.47
0305-SQECB,Female,0,No,Yes,0,1,1,Mailed check,36.05,402.6,No,11.17
0306-JAELE,Male,0,No,No,1,2,0,Electronic check,96.1,453.4,Yes,4.72
0307-BCOPK,Female,0,No,No,1,0,1,Mailed check,19.05,326.65,No,17.15
0308-GIQJT,Male,1,No,No,2,2,1,Bank transfer (automatic),105.75,7382.85,No,69.81
0308-IVGOK,Female,0,No,No,0,1,1,Credit card (automatic),40.4,422.6,No,10.46
0310-MVLET,Female,0,Yes,Yes,2,2,0,Electronic check,99.15,6010.05,Yes,60.62
0310-SUCIN,Female,0,Yes,No,1,1,1,Bank transfer (automatic),84.8,6046.1,No,71.30
0310-VQXAM,Male,0,No,No,1,0,0,Mailed check,19.85,178.8,No,9.01
0311-QYWSS,Female,0,No,No,1,1,0,Electronic check,49.45,314.6,No,6.36
0311-UNPFF,Female,0,No,No,1,2,0,Bank transfer (automatic),88.8,2274.35,Yes,25.61
0314-TKOSI,Female,0,No,No,1,1,0,Mailed check,55.15,322.9,No,5.85
0315-LVCRK,Male,0,No,No,1,2,0,Electronic check,84.8,888.75,No,10.48
0318-QUUOB,Male,0,Yes,No,1,2,0,Electronic check,80.55,80.55,Yes,1.00
0318-ZOPWS,Female,0,Yes,No,1,0,2,Bank transfer (automatic),20.15,973.35,No,48.31
0319-QZTCO,Female,0,Yes,Yes,1,1,0,Credit card (automatic),58.7,168.6,No,2.87
0320-DWVTU,Female,0,No,No,1,2,2,Mailed check,99.5,5424.25,No,54.52
0320-JDNQG,Male,0,Yes,Yes,1,2,0,Electronic check,99.85,2331.3,Yes,23.35
0322-CHQRU,Male,0,No,No,1,1,0,Electronic check,45.35,89.5,Yes,1.97
0322-YINQP,Male,0,No,No,1,1,0,Mailed check,48.55,48.55,Yes,1.00
0323-XWWTN,Male,0,No,Yes,2,0,2,Mailed check,26.4,121.25,No,4.59
0324-BRPCJ,Female,1,Yes,No,2,2,0,Electronic check,100.2,6851.65,Yes,68.38
0325-XBFAC,Male,0,No,No,1,2,0,Electronic check,94.7,740.3,Yes,7.82
0326-VDYXE,Female,0,Yes,No,2,2,1,Electronic check,97.65,6982.5,No,71.51
0327-WFZSY,Male,0,Yes,Yes,2,2,1,Electronic check,100,3835.55,No,38.36
0328-GRPMV,Female,0,No,No,1,2,0,Electronic check,70.1,70.1,Yes,1.00
0329-GTIAJ,Female,0,No,No,1,2,0,Electronic check,97.9,315.3,Yes,3.22
0330-BGYZE,Male,0,Yes,No,2,2,1,Bank transfer (automatic),102.5,6157.6,No,60.07
0330-IVZHA,Female,0,Yes,No,1,2,0,Electronic check,69.95,330.15,Yes,4.72
0334-GDDSO,Male,1,No,No,2,2,0,Electronic check,81.35,233.7,Yes,2.87
0334-ZFJSR,Female,0,Yes,No,2,1,1,Credit card (automatic),66.05,3462.1,No,52.42
0336-KXKFK,Male,0,No,No,0,1,2,Credit card (automatic),61.2,4390.25,No,71.74
0336-PIKEI,Male,1,Yes,No,1,1,2,Bank transfer (automatic),74.4,5360.75,No,72.05
0337-CNPZE,Female,0,No,No,2,2,0,Electronic check,106.3,4443.45,Yes,41.80
0343-QLUZP,Male,0,No,No,0,1,2,Bank transfer (automatic),39.6,2424.5,No,61.22
0345-HKJVM,Female,0,No,No,1,2,0,Electronic check,89.3,577.6,Yes,6.47
0345-XMMUG,Female,0,Yes,No,2,2,2,Credit card (automatic),108.9,4854.3,No,44.58
0347-UBKUZ,Female,0,No,No,1,0,0,Mailed check,19.9,320.45,No,16.10
0348-SDKOL,Female,0,Yes,No,2,2,0,Credit card (automatic),102.1,5885.4,Yes,57.64
0354-VXMJC,Male,0,Yes,Yes,1,0,2,Credit card (automatic),19.6,426.65,No,21.77
0354-WYROK,Female,1,Yes,Yes,1,2,0,Electronic check,98.9,2911.3,Yes,29.44
0356-ERHVT,Male,0,Yes,No,1,1,0,Bank transfer (automatic),45.9,521.9,No,11.37
0356-OBMAC,Female,1,No,No,2,2,2,Bank transfer (automatic),99.9,5706.3,No,57.12
0357-NVCRI,Female,0,No,Yes,1,0,0,Credit card (automatic),20.05,471.7,No,23.53
0361-HJRDX,Female,0,No,No,0,1,2,Credit card (automatic),64.35,4539.6,No,70.55
0362-RAOQO,Female,0,No,No,1,0,2,Credit card (automatic),19.65,830.25,No,42.25
0362-ZBZWJ,Male,0,No,No,2,2,0,Electronic check,84.9,3067.2,Yes,36.13
0363-QJVFX,Male,0,No,No,2,2,0,Credit card (automatic),108.15,3432.9,Yes,31.74
0363-SVHYR,Male,0,Yes,Yes,2,1,2,Bank transfer (automatic),86.85,6263.8,No,72.12
0365-BZUWY,Male,0,Yes,No,2,2,0,Electronic check,102.55,1742.5,No,16.99
0365-GXEZS,Male,0,Yes,No,1,2,0,Electronic check,78.2,1468.75,No,18.78
0365-TRTPY,Female,0,No,No,2,2,0,Bank transfer (automatic),91.2,3382.3,No,37.09
0366-NQSHS,Male,0,No,No,1,0,0,Mailed check,19.35,46.35,No,2.40
0369-ZGOVK,Female,0,Yes,Yes,1,2,1,Bank transfer (automatic),70.4,1992.2,No,28.30
0373-AIVNJ,Male,0,No,No,0,1,1,Mailed check,39.55,373,No,9.43
0374-AACSZ,Female,0,No,No,1,1,0,Electronic check,50.15,50.15,No,1.00
0374-FIUCA,Male,0,Yes,No,1,0,2,Credit card (automatic),20.4,1414.45,No,69.34
0374-IOEGQ,Female,0,No,No,1,1,0,Electronic check,44.6,122.7,No,2.75
0375-HVGXO,Female,0,No,No,0,1,0,Electronic check,34.7,34.7,Yes,1.00
0376-OIWME,Male,0,Yes,No,1,2,0,Electronic check,93.6,3366.05,No,35.96
0376-YMCJC,Male,0,No,No,2,2,0,Electronic check,90.6,1943.2,Yes,21.45
0377-JBKKT,Male,0,Yes,Yes,1,1,0,Mailed check,57.95,1271.8,No,21.95
0378-CJKPV,Female,0,Yes,No,2,2,2,Credit card (automatic),112.1,7965.95,No,71.06
0378-NHQXU,Female,0,Yes,Yes,2,2,0,Electronic check,88.25,1460.65,Yes,16.55
0378-TOVMS,Female,0,No,No,1,2,0,Electronic check,85.8,272.2,Yes,3.17
0378-XSZPU,Male,0,Yes,No,1,1,1,Credit card (automatic),60.3,3563.8,Yes,59.10
0379-DJQHR,Male,0,Yes,Yes,1,1,2,Credit card (automatic),81.35,5398.6,No,66.36
0380-NEAVX,Male,1,No,No,1,2,1,Electronic check,99.85,3343.15,No,33.48
0380-ZCSBI,Male,0,No,No,1,0,0,Credit card (automatic),20,198.7,No,9.94
0383-CLDDA,Female,0,No,No,2,1,2,Credit card (automatic),85.35,5897.4,No,69.10
0384-LPITE,Male,0,No,No,0,1,1,Credit card (automatic),62.05,2511.55,No,40.48
0384-RVBPI,Male,0,No,No,1,1,0,Credit card (automatic),64.4,1398.6,No,21.72
0386-CWRGM,Female,0,Yes,Yes,1,0,2,Mailed check,19.4,967.85,No,49.89
0388-EOPEX,Female,0,Yes,No,1,2,0,Electronic check,74.4,139.4,Yes,1.87
0390-DCFDQ,Female,1,Yes,No,1,2,0,Mailed check,70.45,70.45,Yes,1.00
0392-BZIUW,Female,0,Yes,No,2,2,2,Credit card (automatic),105,7589.8,No,72.28
0394-YONDK,Male,0,Yes,Yes,2,0,2,Credit card (automatic),25.15,1790.15,No,71.18
0396-HUJBP,Female,0,No,No,1,0,0,Mailed check,19.3,44.4,No,2.30
0396-UKGAI,Male,0,No,Yes,1,1,0,Bank transfer (automatic),55.3,1284.2,No,23.22
0396-YCHWO,Male,0,Yes,No,2,2,0,Electronic check,95.4,3474.2,No,36.42
0397-GZBBC,Male,1,Yes,No,2,2,0,Bank transfer (automatic),93.85,5574.75,Yes,59.40
0397-ZXWQF,Male,0,No,No,1,0,2,Bank transfer (automatic),20.5,1430.95,No,69.80
0401-WDBXM,Male,0,Yes,Yes,2,2,2,Bank transfer (automatic),105.55,7542.25,No,71.46
0402-CQAJN,Female,0,No,No,2,2,0,Bank transfer (automatic),101.9,3545.35,Yes,34.79
0402-OAMEN,Female,0,Yes,Yes,2,0,2,Bank transfer (automatic),24.45,1709.1,No,69.90
0404-AHASP,Male,0,Yes,No,1,0,2,Credit card (automatic),19.7,1421.9,No,72.18
0404-SWRVG,Male,0,No,No,2,2,0,Electronic check,74.4,229.55,Yes,3.09
0406-BPDVR,Female,1,Yes,No,2,2,1,Credit card (automatic),101.5,5373.1,Yes,52.94
0407-BDJKB,Male,0,Yes,No,2,2,0,Electronic check,95.75,5742.9,Yes,59.98
0409-WTMPL,Female,0,Yes,No,2,2,1,Credit card (automatic),110.65,6526.65,No,58.98
0410-IPFTY,Female,0,Yes,No,1,2,0,Bank transfer (automatic),83.85,2674.15,No,31.89
0411-EZJZE,Female,0,No,No,2,1,0,Electronic check,60.25,170.5,No,2.83
0412-UCCNP,Male,0,No,No,1,1,2,Electronic check,59.2,3175.85,No,53.65
0415-MOSGF,Female,0,No,No,1,1,0,Mailed check,44.4,44.4,Yes,1.00
0419-YAAPX,Male,0,Yes,No,1,2,0,Credit card (automatic),85.3,4297.95,No,50.39
0420-BWTPW,Male,0,No,Yes,0,1,0,Mailed check,25.5,215.2,Yes,8.44
0420-HLGXF,Female,1,No,No,2,2,0,Electronic check,99.75,4036,No,40.46
